"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Sender inn søknad mor. Sender inn søknad far uten overlapp. Sender inn endringssøknad mor som er lik førstegangsbehandlingen. Verifiserer at det ikke blir berørt sak på far.","66157","Koblet sak endringssøknad ingen endring","","Mon Jun 30 07:30:51 UTC 2025","passed","Mon Jun 30 07:31:57 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","kobletSakIngenEndring"
"Førstegangsbehandling til positivt vedtak. Endringssøknad med utsettelserList fra bruker. Vedtak fortsatt løpende.","14856","Endringssøknad med utsettelserList","","Mon Jun 30 07:33:02 UTC 2025","passed","Mon Jun 30 07:33:17 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.SammenhengendeUttak","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.SammenhengendeUttak","endringssøknadMedUtsettelse"
"Førstegangsbehandling til positivt vedtak. Endringssøknad med gradering fra bruker. Vedtak fortsatt løpende.","12203","Endringssøknad med gradering","","Mon Jun 30 07:32:50 UTC 2025","passed","Mon Jun 30 07:33:03 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Revurdering","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Revurdering","endringssøknadMedGradering"
"Test om logger kritiske feil","73","Test om logger kritiske feil Sjekk Feil i Logger[7] fpinntektsmelding","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:01 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Test om logger kritiske feil","112","Test om logger kritiske feil Sjekk Feil i Logger[3] fpkalkulus","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:01 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Mor søker, får aksjonspunkt slik at behandling stopper opp. Far sender deretter søknad med uttak ifm fødsel og blir satt på vent pga manglende inntektsmelding.Behandler ferdig mor sin søknad (positivt vedtak). Behandler deretter far sin søknad (positivt og automatisk vedtak). Ingen overlapp, med unntak av de to ukene ifm med fødsel. Verifiserer at sakene er koblet og at det ikke opprettes revurdering berørt sak.","16704","Mor og far koblet sak, kant til kant","","Mon Jun 30 07:33:03 UTC 2025","passed","Mon Jun 30 07:33:19 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","morOgFar_fødsel_ettArbeidsforholdHver_kobletsak_kantTilKant"
"Mor får revurdering fra endringssøknad vedtak opphører - far får revurdering","25661","Mor får revurdering fra endringssøknad vedtak opphører","","Mon Jun 30 07:33:26 UTC 2025","passed","Mon Jun 30 07:33:52 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","berørtSakOpphør"
"Førstegangsbehandling til positivt vedtak. Søker sender inn endringsøknad. Endring i uttak. Vedtak fortsatt løpende.","16037","Endringssøknad med ekstra uttaksperiode.","","Mon Jun 30 07:32:14 UTC 2025","passed","Mon Jun 30 07:32:30 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Revurdering","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Revurdering","endringssøknad"
"Mor søker fødsel med privatperson som arbeidsgiver med endring i refusjon","10256","Mor søker fødsel med privatperson som arbeidsgiver med endring i refusjon, avvik i beregning","","Mon Jun 30 07:33:05 UTC 2025","passed","Mon Jun 30 07:33:15 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerFødselMedPrivatpersonSomArbeidsgiverMedEndringIRefusjon"
"Mor søker adopsjon - avvist - barn er over 15 år og blir dermed avlått","5252","Mor søker adopsjon - avvist - barn er over 15 år","","Mon Jun 30 07:33:00 UTC 2025","passed","Mon Jun 30 07:33:05 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Adopsjon","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Adopsjon","morSøkerAdopsjonAvvist"
"Test om lekker sensitive opplysninger","1","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[11] vtp","","Mon Jun 30 07:34:07 UTC 2025","passed","Mon Jun 30 07:34:07 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Far søker registrert fødsel og blir avvist fordi far søker","2785","Far søker registrert fødsel","","Mon Jun 30 07:33:00 UTC 2025","passed","Mon Jun 30 07:33:03 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Fodsel","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Fodsel","farSøkerFødselRegistrert"
"Test om lekker sensitive opplysninger","29750","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[1] fpsak","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:31 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Mor søker uregistrert fødsel mindre enn 14 dager etter fødsel. Behandlingen skal bli satt på vent","1180","Mor søker uregistrert fødsel mindre enn 14 dager etter fødsel","","Mon Jun 30 07:33:17 UTC 2025","passed","Mon Jun 30 07:33:18 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Fodsel","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Fodsel","morSøkerUregistrertFødselMindreEnn14DagerEtter"
"","17817","Mor søker fødsel med 2 arbeidsforhold i samme organisasjon og avvik i beregning","","Mon Jun 30 07:31:29 UTC 2025","passed","Mon Jun 30 07:31:46 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerFødselMedToArbeidsforhold_AvvikIBeregning"
"Far søker rundt fødsel hvor han oppgir at mor er trenger hjelp. Saksbehanlder velger at sykdom ikke er dokumentertog avslå perioden ifm fødel. Resten skal innvilges automatisk.","17520","Far søker rundt fødsel, saksbehandler finner ut at mor ikke er syk eller innlagt, vil føre til avslag i perioden","","Mon Jun 30 07:31:33 UTC 2025","passed","Mon Jun 30 07:31:51 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.RegresjonPreWLB","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.RegresjonPreWLB","farSøkerImfFødselMenMorErIkkeSykEllerInnlagt"
"Far søker Omsorgsovertakelse - får godkjent aksjonspunkt og blir invilget","0","Far søker Omsorgsovertakelse - godkjent","","Mon Jun 30 07:32:53 UTC 2025","skipped","Mon Jun 30 07:32:53 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Omsorgsovertakelse","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Omsorgsovertakelse","farSøkerOmsorgsovertakelseGodkjent"
"Setter behandling på vent og gjennoptar og henlegger","4227","Setter behandling på vent og gjennoptar og henlegger","","Mon Jun 30 07:32:05 UTC 2025","passed","Mon Jun 30 07:32:09 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Termin","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Termin","settBehandlingPåVentOgGjenopptaOgHenlegg"
"Uten inntektsmelding, med lønnsendring de siste 3 månedene","5796","Uten inntektsmelding, med lønnsendring de siste 3 månedene","","Mon Jun 30 07:32:32 UTC 2025","passed","Mon Jun 30 07:32:38 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","vurder_mottar_ytelse_vurder_lonnsendring"
"Test om logger kritiske feil","2","Test om logger kritiske feil Sjekk Feil i Logger[14] audit.nais","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:01 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"","38312","Mor søker fødsel med 1 arbeidsforhold og tre bortfalte naturalytelser på forskjellige tidspunkt","","Mon Jun 30 07:30:51 UTC 2025","passed","Mon Jun 30 07:31:30 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","morSøkerFødselMedEttArbeidsforhold"
"Mor søker adopsjon med overstyrt vilkår som tar behandlingen fra innvilget til avslått","4982","Mor søker adopsjon med overstyrt vilkår","","Mon Jun 30 07:32:46 UTC 2025","passed","Mon Jun 30 07:32:51 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Adopsjon","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Adopsjon","morSøkerAdopsjonOverstyrt"
"Mor søker fødsel med privatperson som arbeidsgiver","11123","Mor søker fødsel med privatperson som arbeidsgiver, avvik i beregning","","Mon Jun 30 07:33:03 UTC 2025","passed","Mon Jun 30 07:33:14 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerFødselMedPrivatpersonSomArbeidsgiver"
"Test om logger kritiske feil","87","Test om logger kritiske feil Sjekk Feil i Logger[5] fpoppdrag","","Mon Jun 30 07:34:02 UTC 2025","passed","Mon Jun 30 07:34:02 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Bare far har rett (BFHR) og mor mottak uføretrygd. Far har 15 uker uten aktivitetskrav som kan tas ut utover en periode på 46 uker. Far søker uttak og utsettelserList uten at aktivitetskravet er oppfylt. Her vil uttaket bli innvilgetfra de 15 ukene uten aktivitetskrav, mens utsettelsen trekker dager. Far prøver å ta ut foreldrepenger uten aktivitetskravetter uke 46 og for avslag pga manglende stønadsdager igjen på konto.","41802","Bare far har rett. Mor Ufør. Perioder uten at mor er i aktivitet skal trekke fra foreldrepenger uten aktivitetskrav.","","Mon Jun 30 07:30:51 UTC 2025","passed","Mon Jun 30 07:31:33 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.RegresjonPreWLB","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.RegresjonPreWLB","BFHRMorUføreTrekkerDagerFortløpendeNårVilkårIkkeErOppfylt"
"Mor søker fødsel og er utvandret. Skal føre til aksjonspunkt angående medlemskap - avslått","6905","Mor søker fødsel er utvandret","","Mon Jun 30 07:31:37 UTC 2025","passed","Mon Jun 30 07:31:44 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Medlemskap","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Medlemskap","morSøkerFødselErUtvandret"
"Test om lekker sensitive opplysninger","3011","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[9] fptilgang","","Mon Jun 30 07:34:06 UTC 2025","passed","Mon Jun 30 07:34:09 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Mor søker uregistrert fødsel før det har gått 1 uke - skal sette behandling på vent","2019","Mor søker uregistrert fødsel før det har gått 1 uke","","Mon Jun 30 07:32:32 UTC 2025","passed","Mon Jun 30 07:32:34 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerUregistrertEtterFør2Uker"
"Mor søker med personstatus uregistrert, får askjonspunkt så hennlegges","34568","Mor søker med personstatus uregistrert","","Mon Jun 30 07:30:51 UTC 2025","passed","Mon Jun 30 07:31:26 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Medlemskap","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Medlemskap","morSøkerFødselUregistrert"
"Mor søker fødsel aleneomsorg. Annen forelder ikke kjent.","6403","Mor søker fødsel med aleneomsorg","","Mon Jun 30 07:33:09 UTC 2025","passed","Mon Jun 30 07:33:15 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerFødselAleneomsorgKunEnHarRett"
"Mor søker termin uten periode for foreldrepenger før fødsel. Skjæringstidspunkt skal være 3 uker før termindato.","7797","Mor søker termin uten FPFF","","Mon Jun 30 07:32:25 UTC 2025","passed","Mon Jun 30 07:32:33 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Termin","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Termin","morSokerTerminUtenFPFFperiode"
"Mor med to arbeidsforhold søker termin. Søknad inneholder gradering. En periode som er forflyttet ifht IM, en periode som har feil graderingsprosent i fht IM, en periode som har feil orgnr i fht IM og en periode som er ok.","9515","Mor søker termin med avvik i gradering","","Mon Jun 30 07:32:15 UTC 2025","passed","Mon Jun 30 07:32:25 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Termin","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Termin","morSøkerTerminEttArbeidsforhold_avvikIGradering"
"Test om logger kritiske feil","5","Test om logger kritiske feil Sjekk Feil i Logger[13] fpcache","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:01 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Test om logger kritiske feil","43","Test om logger kritiske feil Sjekk Feil i Logger[11] vtp","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:01 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkFeilILogger"
"Mor søker fødsel. Har ikke arbeidsforhold i AAREG, men det blir sendt inn en innteksmelding. Saksbehandler legger til arbeidsforhold basert på motatt inntektsmelding","10949","Mor søker fødsel, men har ikke arbeidsforhold i AAREG, sender inntektsmelding","","Mon Jun 30 07:31:51 UTC 2025","passed","Mon Jun 30 07:32:02 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.ArbeidsforholdVarianter","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.ArbeidsforholdVarianter","utenArbeidsforholdMenMedInntektsmelding"
"Test om lekker sensitive opplysninger","4685","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[4] fpformidling","","Mon Jun 30 07:34:01 UTC 2025","passed","Mon Jun 30 07:34:06 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Mor har FP og får innvilget ny FP - revurder tidligste FP og avslå perioder inn i ny stønadsperiode. ","23806","Mor brukt opp minsterett. Nytt barn opphører gammel sak fom 3 uker før termin og avslår perioder etter dette","","Mon Jun 30 07:32:06 UTC 2025","passed","Mon Jun 30 07:32:30 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.ToTetteOgMinsterettTester","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.ToTetteOgMinsterettTester","nytt_barn_opphører_gammel_sak_pga_minsterett_oppbrukt"
"Test om lekker sensitive opplysninger","3892","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[7] fpinntektsmelding","","Mon Jun 30 07:34:03 UTC 2025","passed","Mon Jun 30 07:34:07 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Mor søker SVP med ett arbeidsforhold - halv og så endring til ingen tilrettelegging. Full refusjon","21199","Mor søker SVP med ett arbeidsforhold - halv og så endring til ingen tilrettelegging. Full refusjon","","Mon Jun 30 07:32:30 UTC 2025","passed","Mon Jun 30 07:32:51 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.svangerskapspenger.Førstegangsbehandling","no.nav.foreldrepenger.autotest.fpsak.svangerskapspenger.Førstegangsbehandling","mor_søker_svp_ett_arbeidsforhold_endrer_ingen_tilrettelegging"
"Far søker adopsjon - godkjent happy case","5744","Far søker adopsjon - godkjent","","Mon Jun 30 07:32:51 UTC 2025","passed","Mon Jun 30 07:32:57 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Adopsjon","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Adopsjon","farSøkerAdopsjonGodkjent"
"Ikke få avslåg på innvilget perioder pga søknadsfrist.","20047","Ikke få avslåg på innvilget perioder pga søknadsfrist","","Mon Jun 30 07:32:30 UTC 2025","passed","Mon Jun 30 07:32:50 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Revurdering","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Revurdering","ikke_avslag_pa_innvilget_perioder_pga_søknadsfrist_i_revurdering"
"Mor søker termin overstyrt vilkår fødsel fra oppfylt til avvist","5998","Mor søker termin overstyrt vilkår","","Mon Jun 30 07:31:59 UTC 2025","passed","Mon Jun 30 07:32:05 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Termin","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Termin","morSøkerTerminOvertyrt"
"Test om lekker sensitive opplysninger","2","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[10] postgres","","Mon Jun 30 07:34:07 UTC 2025","passed","Mon Jun 30 07:34:07 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Mor søker fødsel for 2 barn med 1 barn registrert. dette fører til aksjonspunkt for bekreftelse av antall barn","8828","Mor søker fødsel for 2 barn med 1 barn registrert","","Mon Jun 30 07:32:43 UTC 2025","passed","Mon Jun 30 07:32:52 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøker2Barn1Registrert"
"Mor søker fødsel - godkjent happy case","3374","Mor søker fødsel - godkjent","","Mon Jun 30 07:33:18 UTC 2025","passed","Mon Jun 30 07:33:21 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Fodsel","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Fodsel","morSøkerFødselGodkjent"
"Test om lekker sensitive opplysninger","6168","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[8] fprisk","","Mon Jun 30 07:34:06 UTC 2025","passed","Mon Jun 30 07:34:12 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"Far søker Foreldreansvar 2. ledd - får godkjent aksjonspunkt og blir invilget","0","Far søker Foreldreansvar 2. ledd - godkjent","","Mon Jun 30 07:32:53 UTC 2025","skipped","Mon Jun 30 07:32:53 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Omsorgsovertakelse","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Omsorgsovertakelse","farSøkerForeldreansvarGodkjent"
"Test om lekker sensitive opplysninger","9251","Test om lekker sensitive opplysninger Sjekk sensitiv logg lekkasje[6] fpabakus","","Mon Jun 30 07:34:03 UTC 2025","passed","Mon Jun 30 07:34:12 UTC 2025","","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","no.nav.foreldrepenger.autotest.teknisk.logg.LoggTest","sjekkLoggerForPersonopplysninger"
"","8995","Far søker fødsel med 1 arbeidsforhold","","Mon Jun 30 07:33:14 UTC 2025","passed","Mon Jun 30 07:33:23 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","farSøkerFødselMedEttArbeidsforhold"
"Behandle innsyn for mor - avvist ved vurdering","5682","Behandle innsyn for mor - avvist","","Mon Jun 30 07:32:17 UTC 2025","passed","Mon Jun 30 07:32:23 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Innsyn","no.nav.foreldrepenger.autotest.fpsak.engangsstonad.Innsyn","behandleInnsynMorAvvist"
"Far søker. Blir satt på vent pga for tidlig søknad. Mor søker og får innvilget. Oppretter manuell revurdering på mor.","15998","Koblet sak mor søker etter far og sniker i køen","","Mon Jun 30 07:33:23 UTC 2025","passed","Mon Jun 30 07:33:39 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.MorOgFarSammen","kobletSakMorSøkerEtterFar"
"Mor søker fødsel har stillingsprosent 0 som fører til aksjonspunkt for opptjening","9772","Mor søker fødsel har stillingsprosent 0","","Mon Jun 30 07:33:17 UTC 2025","passed","Mon Jun 30 07:33:26 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.Fodsel","morSøkerFødselStillingsprosent0"
"","4707","ATFL i samme org med lønnsendring","","Mon Jun 30 07:32:28 UTC 2025","passed","Mon Jun 30 07:32:32 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","ATFL_samme_org_med_lønnendring_uten_inntektsmelding"
"","6629","Mor søker fødsel med full AAP og et arbeidsforhold som ikke skal benyttes.","","Mon Jun 30 07:32:49 UTC 2025","passed","Mon Jun 30 07:32:55 UTC 2025","","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","no.nav.foreldrepenger.autotest.fpsak.foreldrepenger.BeregningVerdikjede","morSøkerFødselMedFullAAPOgArbeidsforholdSomErAktivtPåStp"
